anime_id,title,title_english,episodes,rating,score,scored_by,rank,popularity,members,genre,duration_min,aired_from_year
30,Neon Genesis Evangelion,Neon Genesis Evangelion,26,PG-13 - Teens 13 or older,8.32,364012,223,48,641101,"Action, Sci-Fi, Dementia, Psychological, Drama, Mecha",24,1995
31,Neon Genesis Evangelion: Death & Rebirth,Neon Genesis Evangelion: Death & Rebirth,1,R - 17+ (violence & profanity),7.5,70425,1639,699,121923,"Drama, Mecha, Psychological, Sci-Fi",101,1997
32,Neon Genesis Evangelion: The End of Evangelion,Neon Genesis Evangelion: The End of Evangelion,1,R+ - Mild Nudity,8.48,193744,113,216,295923,"Sci-Fi, Dementia, Psychological, Drama, Mecha",87,1997
33,Kenpuu Denki Berserk,Berserk,25,R+ - Mild Nudity,8.45,153890,132,210,302027,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",25,1997
43,Ghost in the Shell,Ghost in the Shell,1,R+ - Mild Nudity,8.35,182809,192,174,329663,"Action, Sci-Fi, Police, Psychological, Mecha, Seinen",82,1995
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,Samurai X: Trust and Betrayal,4,R - 17+ (violence & profanity),8.79,89117,31,481,167218,"Action, Historical, Drama, Romance, Martial Arts, Samurai",30,1999
45,Rurouni Kenshin: Meiji Kenkaku Romantan,Rurouni Kenshin,94,PG-13 - Teens 13 or older,8.4,135713,168,240,275431,"Action, Adventure, Comedy, Historical, Romance, Samurai",25,1996
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,Samurai X: The Motion Picture,1,R - 17+ (violence & profanity),7.63,20935,1280,1856,37309,"Samurai, Historical, Drama, Shounen",91,1997
47,Akira,AKIRA,1,R+ - Mild Nudity,8.16,190829,352,198,310133,"Action, Military, Sci-Fi, Adventure, Horror, Supernatural",124,1988
48,.hack//Sign,.hack//Sign,26,PG-13 - Teens 13 or older,7.09,61485,3221,650,129334,"Game, Sci-Fi, Adventure, Mystery, Magic, Fantasy",24,2002
49,Aa! Megami-sama!,Oh! My Goddess,5,PG-13 - Teens 13 or older,7.38,20930,2093,1807,39049,"Comedy, Magic, Romance, Seinen, Supernatural",30,1993
50,Aa! Megami-sama! (TV),Ah! My Goddess,24,PG-13 - Teens 13 or older,7.43,57264,1881,769,112066,"Comedy, Supernatural, Magic, Romance, Seinen",24,2005
51,Tenshi Kinryouku,Angel Sanctuary,3,R+ - Mild Nudity,6.42,23156,5942,1794,39365,"Action, Drama, Romance, Shoujo, Supernatural",30,2000
52,Kidou Tenshi Angelic Layer,Battle Doll Angelic Layer,26,PG-13 - Teens 13 or older,7.31,22165,2389,1663,44235,"Sci-Fi, Comedy, Sports, Drama, Shounen",24,2001
53,Ai Yori Aoshi,Ai Yori Aoshi,24,PG-13 - Teens 13 or older,7.21,39166,2756,1064,77920,"Comedy, Drama, Harem, Romance, Slice of Life",23,2002
54,Appleseed (Movie),,1,R - 17+ (violence & profanity),7.19,33840,2835,1425,55723,"Action, Military, Sci-Fi, Police, Drama, Mecha, Shounen",105,2004
55,Arc the Lad,,26,R - 17+ (violence & profanity),6.6,4322,5188,3417,11918,"Action, Adventure, Fantasy, Horror, Sci-Fi",22,1999
56,Avenger,,13,R - 17+ (violence & profanity),5.97,5305,7408,3221,13748,"Adventure, Fantasy, Sci-Fi, Shounen",24,2003
57,Beck,Beck: Mongolian Chop Squad,26,R - 17+ (violence & profanity),8.37,87024,181,414,184685,"Comedy, Drama, Music, Shounen, Slice of Life",25,2004
58,Blue Gender,Blue Gender,26,R+ - Mild Nudity,7.11,20581,3148,1522,50692,"Adventure, Romance, Mecha, Military, Sci-Fi, Horror, Space, Drama",23,1999
59,Chobits,Chobits,26,PG-13 - Teens 13 or older,7.53,175388,1546,188,317641,"Sci-Fi, Comedy, Drama, Romance, Ecchi, Seinen",24,2002
60,Chrno Crusade,Chrono Crusade,24,R - 17+ (violence & profanity),7.76,78792,961,485,165433,"Action, Historical, Demons, Supernatural, Romance",23,2003
61,D.N.Angel,D.N.Angel,26,PG-13 - Teens 13 or older,7.31,76025,2376,582,143067,"Action, Comedy, Magic, Romance, Fantasy, School, Shoujo",23,2003
62,D.C.: Da Capo,D.C.~Da Capo~,26,PG-13 - Teens 13 or older,6.87,24054,4030,1405,56523,"Harem, Drama, Magic, Romance",24,2003
63,DearS,DearS,12,R+ - Mild Nudity,6.74,59249,4570,820,105741,"Sci-Fi, Harem, Comedy, Romance, Ecchi",23,2004
64,Rozen Maiden,Rozen Maiden,12,PG-13 - Teens 13 or older,7.53,74301,1563,554,148187,"Action, Comedy, Drama, Magic, Seinen",24,2004
65,Rozen Maiden: Träumend,Rozen Maiden: Träumend,12,PG-13 - Teens 13 or older,7.74,47139,1024,1028,81387,"Action, Comedy, Drama, Magic, Seinen",24,2005
66,Azumanga Daioh,Azumanga Daioh: The Animation,26,PG-13 - Teens 13 or older,8.04,97303,500,369,203314,"Slice of Life, Comedy, School",24,2002
67,Basilisk: Kouga Ninpou Chou,Basilisk,24,R - 17+ (violence & profanity),7.66,54467,1190,669,125162,"Action, Adventure, Historical, Supernatural, Romance, Samurai, Fantasy",24,2005
68,Black Cat,Black Cat,23,PG-13 - Teens 13 or older,7.49,89185,1656,430,181812,"Adventure, Comedy, Sci-Fi, Shounen, Super Power",24,2005
69,Cluster Edge,,25,PG-13 - Teens 13 or older,6.45,2185,5787,4074,7839,"Action, Fantasy, Military, Sci-Fi",24,2005
71,Full Metal Panic!,Full Metal Panic!,24,R - 17+ (violence & profanity),7.75,167633,985,187,318335,"Action, Military, Sci-Fi, Comedy, Mecha",24,2002
72,Full Metal Panic? Fumoffu,Full Metal Panic? Fumoffu,12,PG-13 - Teens 13 or older,8.16,127379,357,365,204094,"Action, Comedy, School",24,2003
73,Full Metal Panic! The Second Raid,Full Metal Panic! The Second Raid,13,R - 17+ (violence & profanity),8.03,109507,514,415,184696,"Action, Military, Mecha",24,2005
74,Gakuen Alice,Gakuen Alice,26,G - All Ages,7.77,33244,941,1291,62951,"Comedy, School, Shoujo, Super Power",25,2004
75,Soukyuu no Fafner: Dead Aggressor,Fafner of the Blue Sky,25,PG-13 - Teens 13 or older,7.36,10476,2210,2013,32536,"Action, Drama, Mecha, Military, Sci-Fi",24,2004
76,Mahou Shoujo Lyrical Nanoha,Magical Girl Lyrical Nanoha,13,PG-13 - Teens 13 or older,7.49,31524,1670,1127,73400,"Action, Comedy, Drama, Magic, Super Power",25,2004
77,Mahou Shoujo Lyrical Nanoha A&#039;s,Magical Girl Lyrical Nanoha A&#039;s,13,PG-13 - Teens 13 or older,8.07,25789,466,1574,47870,"Action, Comedy, Drama, Magic, Super Power",25,2005
79,Shuffle!,Shuffle!,24,R+ - Mild Nudity,7.24,97057,2666,395,190780,"Comedy, Drama, Ecchi, Fantasy, Harem, Magic, Romance, School, Seinen",23,2005
80,Mobile Suit Gundam,Mobile Suit Gundam,43,PG-13 - Teens 13 or older,7.87,29311,763,1215,66929,"Action, Space, Mecha, Military, Sci-Fi",25,1979
81,Mobile Suit Gundam: The 08th MS Team,Mobile Suit Gundam: The 08th MS Team,12,PG-13 - Teens 13 or older,8.1,24855,438,1668,44124,"Military, Sci-Fi, Adventure, Drama, Romance, Mecha",24,1996
82,Mobile Suit Gundam 0080: War in the Pocket,Mobile Suit Gundam 0080: War in the Pocket,6,PG-13 - Teens 13 or older,7.87,16246,764,2124,29628,"Military, Sci-Fi, Space, Drama, Mecha",27,1989
83,Mobile Suit Gundam: The 08th MS Team - Miller&#039;s Report,,1,PG-13 - Teens 13 or older,6.92,4804,3852,3782,9360,"Military, Sci-Fi, Drama, Romance, Mecha",52,1998
84,Mobile Suit Gundam 0083: Stardust Memory,Mobile Suit Gundam 0083: Stardust Memory,13,PG-13 - Teens 13 or older,7.42,14154,1943,2362,24951,"Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha",30,1991
85,Mobile Suit Zeta Gundam,Mobile Suit Zeta Gundam,50,PG-13 - Teens 13 or older,8.02,18610,535,1851,37363,"Military, Sci-Fi, Space, Drama, Romance, Mecha",24,1985
86,Mobile Suit Gundam ZZ,Mobile Suit Gundam ZZ,47,PG-13 - Teens 13 or older,6.76,10152,4504,2544,21872,"Space, Comedy, Mecha, Military, Drama, Sci-Fi",24,1986
87,Mobile Suit Gundam: Char&#039;s Counterattack,Mobile Suit Gundam: Char&#039;s Counterattack,1,PG-13 - Teens 13 or older,7.77,13960,948,2406,24158,"Military, Sci-Fi, Space, Drama, Mecha",119,1988
89,Mobile Suit Victory Gundam,Mobile Suit V Gundam,51,PG-13 - Teens 13 or older,6.89,5752,3957,3024,15475,"Military, Sci-Fi, Space, Drama, Mecha",24,1993
90,Mobile Suit Gundam Wing,Mobile Suit Gundam Wing,49,PG-13 - Teens 13 or older,7.84,59894,817,845,102852,"Action, Military, Sci-Fi, Space, Drama, Mecha",24,1995
91,Mobile Suit Gundam Wing: Endless Waltz,Mobile Suit Gundam Wing: Endless Waltz,3,PG-13 - Teens 13 or older,7.86,19822,784,1992,33119,"Action, Drama, Mecha, Military, Sci-Fi, Space",30,1997
92,Kidou Shin Seiki Gundam X,After War Gundam X,39,PG-13 - Teens 13 or older,7.38,9866,2111,2505,22459,"Sci-Fi, Adventure, Space, Drama, Mecha",24,1996
93,Mobile Suit Gundam SEED,Mobile Suit Gundam SEED,50,R - 17+ (violence & profanity),7.88,65885,744,761,113930,"Action, Space, Mecha, Romance, Military, Drama, Sci-Fi",24,2002
94,Mobile Suit Gundam SEED Destiny,,50,R - 17+ (violence & profanity),7.32,46198,2350,1097,75268,"Action, Space, Mecha, Romance, Military, Drama, Sci-Fi",24,2004
95,Turn A Gundam,∀ Gundam,50,PG-13 - Teens 13 or older,7.75,8628,1009,2334,25400,"Action, Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha",24,1999
96,Mobile Fighter G Gundam,Mobile Fighter G Gundam,49,PG-13 - Teens 13 or older,7.61,23985,1332,1695,43296,"Sci-Fi, Adventure, Space, Comedy, Sports, Drama, Romance, Martial Arts, Mecha",24,1994
97,Last Exile,Last Exile,26,PG-13 - Teens 13 or older,7.9,53548,699,689,122955,"Action, Sci-Fi, Adventure",24,2003
98,Mai-HiME,My-Hime,26,PG-13 - Teens 13 or older,7.55,41260,1500,986,86053,"Action, Comedy, Drama, Fantasy, Magic, Mecha, Romance, School, Shoujo Ai",23,2004
99,Mai-Otome,My-Otome,26,PG-13 - Teens 13 or older,7.37,20948,2153,1765,40454,"Comedy, Drama, Fantasy, Magic",24,2005
100,Shin Shirayuki-hime Densetsu Prétear,Prétear: The New Legend of Snow White,13,PG-13 - Teens 13 or older,7.3,20962,2442,1686,43473,"Comedy, Drama, Fantasy, Magic, Romance, Shoujo, Super Power",23,2001
101,Air,Air,12,PG-13 - Teens 13 or older,7.42,116985,1919,340,215538,"Slice of Life, Supernatural, Drama, Romance",24,2005
102,Aishiteruze Baby★★,,26,PG-13 - Teens 13 or older,7.55,39320,1481,1121,73952,"Comedy, Drama, Romance, Shoujo",25,2004
103,Akazukin Chacha,Red Riding Hood Chacha,74,G - All Ages,7.46,3153,1751,3812,9195,"Adventure, Comedy, Fantasy, Magic, Romance, Shoujo",24,1994
104,Ayashi no Ceres,"Ceres, Celestial Legend",24,R - 17+ (violence & profanity),7.34,20548,2267,1677,43883,"Adventure, Comedy, Horror, Psychological, Supernatural, Drama, Romance, Shoujo",21,2000
105,Boys Be...,Boys Be...,13,PG-13 - Teens 13 or older,6.53,6960,5475,2902,16869,"Slice of Life, Comedy, Romance, Shounen",23,2000
106,Hana yori Dango,Hana Yori Dango,51,PG-13 - Teens 13 or older,7.85,14464,790,1936,34885,"Drama, Romance, School, Shoujo",25,1996
107,Ou Dorobou Jing,Jing: King of Bandits,13,PG-13 - Teens 13 or older,7.32,10886,2357,2244,27073,"Adventure, Comedy, Fantasy, Sci-Fi, Shounen",24,2002
109,Bakuretsu Tenshi,Burst Angel,24,PG-13 - Teens 13 or older,6.9,23943,3897,1458,53997,"Adventure, Comedy, Mecha, Sci-Fi",23,2004
110,Chuuka Ichiban!,,52,PG-13 - Teens 13 or older,7.7,4745,1099,3583,10603,"Action, Comedy, Drama, Shounen",23,1997
111,Corrector Yui,Corrector Yui,52,PG - Children,6.9,3954,3902,3808,9206,"Sci-Fi, Adventure, Comedy, Magic",25,1999
112,Chou Henshin Cosprayers,The Cosmopolitan Prayers,8,PG-13 - Teens 13 or older,5.05,2276,8991,4462,6222,"Action, Ecchi, Adventure, Fantasy, Magic, Comedy, Super Power, Sci-Fi",14,2004
113,Uchuu no Stellvia,Stellvia of the Universe,26,PG-13 - Teens 13 or older,7.46,7286,1788,2836,17627,"Action, Romance, Sci-Fi, Space",23,2003
114,Sakigake!! Cromartie Koukou,Cromartie High School,26,PG-13 - Teens 13 or older,8,34420,558,992,85072,"Comedy, School, Shounen",12,2003
115,El Hazard: The Alternative World,,13,PG-13 - Teens 13 or older,6.91,3734,3873,4007,8099,"Adventure, Comedy, Fantasy",25,1998
116,El Hazard: The Wanderers,El-Hazard: The Wanderers,26,PG-13 - Teens 13 or older,7.06,4908,3332,3505,11210,"Adventure, Comedy, Romance, Fantasy",23,1995
117,El Hazard: The Magnificent World,,7,PG-13 - Teens 13 or older,7.4,5449,2010,3411,11971,"Adventure, Comedy, Fantasy, Romance",34,1995
118,El Hazard 2: The Magnificent World,,4,PG-13 - Teens 13 or older,6.95,3234,3735,4386,6480,"Adventure, Comedy, Fantasy",30,1997
119,Final Approach,,13,PG-13 - Teens 13 or older,6.64,14533,5009,2217,27746,"Comedy, Drama, Romance, Slice of Life",14,2004
120,Fruits Basket,Fruits Basket,26,PG-13 - Teens 13 or older,7.77,167968,939,222,292572,"Slice of Life, Comedy, Drama, Romance, Fantasy, Shoujo",24,2001
121,Fullmetal Alchemist,Fullmetal Alchemist,51,PG-13 - Teens 13 or older,8.29,491403,247,21,791812,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",24,2003
122,Full Moon wo Sagashite,Searching for the Full Moon,52,PG-13 - Teens 13 or older,8.05,31213,489,1158,70963,"Music, Comedy, Supernatural, Drama, Romance, Shoujo",24,2002
123,Fushigi Yuugi,Mysterious Play,52,PG-13 - Teens 13 or older,7.75,33876,987,1124,73588,"Adventure, Fantasy, Magic, Martial Arts, Comedy, Romance, Historical, Drama, Shoujo",23,1995
124,Fushigi Yuugi: Eikouden,Mysterious Play: Eikoden,4,PG-13 - Teens 13 or older,6.98,6990,3636,3289,13110,"Adventure, Fantasy, Romance, Drama, Shoujo",30,2001
125,Futakoi,Twin Love,13,PG-13 - Teens 13 or older,6.59,12728,5247,2250,27009,"Comedy, Romance, School",24,2004
126,Futakoi Alternative,,13,PG-13 - Teens 13 or older,6.99,9372,3593,2379,24641,"Comedy, Drama, Romance",24,2005
127,Gate Keepers,,24,PG-13 - Teens 13 or older,7.04,6972,3406,2938,16511,"Action, Comedy, Fantasy, Mecha, Sci-Fi, Shounen",25,2000
128,Gate Keepers 21,,6,PG-13 - Teens 13 or older,6.87,3689,4033,3992,8183,"Action, Drama, Mecha, Sci-Fi, Shounen",30,2002
129,Gensoumaden Saiyuuki,Saiyuki,50,R - 17+ (violence & profanity),7.68,14818,1145,1829,38291,"Adventure, Comedy, Supernatural, Drama, Shounen",23,2000
130,Saiyuuki Reload,Saiyuki Reload,25,PG-13 - Teens 13 or older,7.51,8932,1617,2507,22448,"Action, Adventure, Comedy, Drama, Fantasy, Josei",20,2003
131,Saiyuuki Reload Gunlock,Saiyuki Gunlock,26,PG-13 - Teens 13 or older,7.53,5825,1562,3006,15626,"Action, Adventure, Comedy, Fantasy, Josei",24,2004
132,GetBackers,Getbackers,49,PG-13 - Teens 13 or older,7.69,37283,1129,985,86095,"Action, Comedy, Drama, Mystery, Shounen, Super Power, Supernatural",24,2002
133,Green Green,Green Green,12,R+ - Mild Nudity,6.36,53633,6155,935,91568,"Comedy, Ecchi, Romance, School, Slice of Life",24,2003
134,Gunslinger Girl,Gunslinger Girl,13,R - 17+ (violence & profanity),7.51,55066,1608,655,128234,"Action, Psychological, Military, Drama, Sci-Fi",24,2003
135,Hikaru no Go,Hikaru no Go,75,PG-13 - Teens 13 or older,8.17,39814,349,1001,84288,"Comedy, Game, Shounen, Supernatural",23,2001
136,Hunter x Hunter,Hunter x Hunter,62,PG-13 - Teens 13 or older,8.47,115140,118,310,229341,"Action, Adventure, Shounen, Super Power",23,1999
137,Hunter x Hunter: Yorkshin City Kanketsu-hen,,8,PG-13 - Teens 13 or older,8.39,39820,171,1198,67870,"Action, Adventure, Super Power, Shounen",24,2002
138,Hunter x Hunter: Greed Island,,8,PG-13 - Teens 13 or older,8.3,44491,237,1126,73480,"Action, Adventure, Shounen, Super Power",22,2003
139,Hunter x Hunter: Greed Island Final,,14,PG-13 - Teens 13 or older,8.38,43270,175,1145,72065,"Action, Adventure, Shounen, Super Power",24,2004
141,Jinki:Extend,Jinki: Extend,12,R - 17+ (violence & profanity),6.22,3209,6691,3946,8421,"Mecha, Sci-Fi",23,2005
142,Kamikaze Kaitou Jeanne,,44,PG-13 - Teens 13 or older,7.52,19131,1577,1885,36496,"Adventure, Comedy, Demons, Drama, Fantasy, Magic, Mystery, Romance, Shoujo",24,1999
143,Kannazuki no Miko,Destiny of the Shrine Maiden,12,PG-13 - Teens 13 or older,7,22091,3568,1534,49953,"Supernatural, Drama, Magic, Romance, Mecha, Shounen, Shoujo Ai",24,2004
144,Kanon,,13,G - All Ages,7.22,20203,2724,1594,47171,"Drama, Romance, Slice of Life, Supernatural",24,2002
145,Kareshi Kanojo no Jijou,His and Her Circumstances,26,PG-13 - Teens 13 or older,7.64,47303,1250,702,121555,"Comedy, Drama, Romance, School, Shoujo, Slice of Life",24,1998
146,Kono Minikuku mo Utsukushii Sekai,This Ugly Yet Beautiful World,12,R+ - Mild Nudity,6.87,23159,4042,1601,46881,"Sci-Fi, Comedy, Drama, Magic, Romance, Ecchi",24,2004
147,Kimi ga Nozomu Eien,Rumbling Hearts,14,R+ - Mild Nudity,7.35,52858,2238,829,104809,"Drama, Romance, Slice of Life",23,2003
148,Kita e.: Diamond Dust Drops,Diamond Daydreams,12,PG-13 - Teens 13 or older,6.71,1937,4714,4359,6588,"Drama, Romance, Slice of Life",24,2004
149,Loveless,Loveless,12,PG-13 - Teens 13 or older,7.11,50820,3168,879,98863,"Action, Mystery, Supernatural, Drama, Romance, Fantasy, Josei, Shounen Ai",24,2005
150,Blood+,Blood+,50,R - 17+ (violence & profanity),7.76,108174,960,277,251517,"Action, Military, Mystery, Horror, Supernatural, Drama, Vampire",24,2005
151,Re: Cutey Honey,,3,R+ - Mild Nudity,7.15,6209,3007,2994,15810,"Action, Sci-Fi, Comedy, Ecchi, Shoujo Ai",45,2004
152,Solty Rei,,24,R - 17+ (violence & profanity),7.35,9126,2259,2583,21294,"Action, Sci-Fi, Super Power",23,2005
153,Juuni Kokuki,The Twelve Kingdoms,45,PG-13 - Teens 13 or older,8.13,28791,399,1016,82925,"Action, Adventure, Fantasy, Magic, Supernatural",25,2002
154,Shaman King,Shaman King,64,PG-13 - Teens 13 or older,7.83,120613,833,343,215353,"Action, Adventure, Comedy, Supernatural, Drama, Shounen",23,2001
155,X/1999,X - The Movie,1,R - 17+ (violence & profanity),6.66,14433,4951,2298,25957,"Action, Drama, Fantasy, Horror, Magic, Sci-Fi, Supernatural",93,1996
156,X,X,24,R+ - Mild Nudity,7.52,26677,1594,1374,58165,"Action, Super Power, Drama, Magic, Romance, Fantasy, Shoujo",24,2001
157,Mahou Sensei Negima!,Negima!,26,PG-13 - Teens 13 or older,7.08,45365,3269,899,95850,"Comedy, Ecchi, Fantasy, Harem, Magic, Romance, School, Shounen, Super Power, Supernatural",23,2005
158,Maria-sama ga Miteru,Maria Watches Over Us,13,PG-13 - Teens 13 or older,7.44,14203,1855,1759,40592,"Slice of Life, Drama, Romance, Shoujo, Shoujo Ai",24,2004
159,Boukyaku no Senritsu,The Melody of Oblivion,24,PG-13 - Teens 13 or older,6.4,4617,5983,3206,13879,"Adventure, Fantasy, Horror, Mecha, Psychological, Sci-Fi, Shounen, Space, Supernatural",23,2004
160,"Ima, Soko ni Iru Boku","Now and Then, Here and There",13,R - 17+ (violence & profanity),7.75,24885,990,1099,75253,"Adventure, Drama, Fantasy, Military, Sci-Fi",25,1999
161,Peace Maker Kurogane,Peace Maker Kurogane,24,R - 17+ (violence & profanity),7.4,17560,2038,1756,40681,"Action, Comedy, Historical, Samurai, Shounen",24,2003
162,Pita Ten,Pita-Ten,26,G - All Ages,7.04,7857,3421,2825,17762,"Comedy, Fantasy, Kids, Romance, School, Shounen",24,2002
163,Power Stone,,26,PG - Children,6.54,2530,5465,4836,5108,"Adventure, Comedy, Fantasy, Historical, Shounen",20,1999
164,Mononoke Hime,Princess Mononoke,1,PG-13 - Teens 13 or older,8.8,333730,29,79,507499,"Action, Adventure, Fantasy",130,1997
165,RahXephon,RahXephon,26,PG-13 - Teens 13 or older,7.5,31206,1644,1046,79101,"Action, Drama, Mecha, Music, Mystery, Psychological, Romance, Sci-Fi",23,2002
166,Samurai 7,Samurai 7,26,PG-13 - Teens 13 or older,7.57,44550,1438,973,87185,"Historical, Mecha, Samurai, Sci-Fi",26,2004
167,Scrapped Princess,Scrapped Princess,24,PG-13 - Teens 13 or older,7.48,28908,1704,1199,67810,"Adventure, Comedy, Drama, Fantasy, Mecha, Sci-Fi, Shounen",23,2003
168,s.CRY.ed,s-CRY-ed,26,PG-13 - Teens 13 or older,7.43,29622,1904,1339,60651,"Action, Sci-Fi, Adventure, Super Power, Drama",24,2001
169,Shingetsutan Tsukihime,Lunar Legend Tsukihime,12,R - 17+ (violence & profanity),7.04,51195,3426,800,108116,"Action, Horror, Mystery, Romance, Super Power, Supernatural, Vampire",24,2003
170,Slam Dunk,Slam Dunk,101,PG-13 - Teens 13 or older,8.55,55013,86,753,114837,"Comedy, Sports, Drama, School, Shounen",23,1993
171,Strange Dawn,,13,PG - Children,6.54,793,5466,6268,2634,"Adventure, Drama, Fantasy",20,2000
173,Tactics,,25,PG-13 - Teens 13 or older,7.31,10635,2407,2073,31042,"Mystery, Comedy, Historical, Demons, Supernatural, Drama, Shounen",24,2004
174,Tenjou Tenge,Tenjho Tenge,24,R - 17+ (violence & profanity),7.05,64618,3390,678,124465,"Action, Ecchi, Martial Arts, Comedy, Super Power, School, Shounen",23,2004
175,Tokyo Underground,Tokyo Underground,26,PG-13 - Teens 13 or older,6.7,8564,4776,2612,20940,"Action, Adventure, Romance, Sci-Fi, Shounen, Super Power",25,2002
177,Tsubasa Chronicle,Tsubasa RESERVoir CHRoNiCLE,26,PG-13 - Teens 13 or older,7.64,70113,1261,505,159157,"Action, Adventure, Fantasy, Magic, Romance, Supernatural, Shounen",25,2005
178,Ultra Maniac,Ultramaniac - Magical Girl,26,G - All Ages,7.26,9663,2594,2490,22778,"Magic, Comedy, Romance, School, Shoujo",24,2003
180,Vandread,Vandread,13,PG-13 - Teens 13 or older,7.29,34049,2477,1316,61631,"Action, Ecchi, Mecha, Sci-Fi, Shounen, Space",22,2000
181,Vandread: The Second Stage,,13,PG-13 - Teens 13 or older,7.5,25354,1651,1749,40958,"Action, Ecchi, Mecha, Sci-Fi, Shounen, Space",22,2001
182,Tenkuu no Escaflowne,The Vision of Escaflowne,26,PG-13 - Teens 13 or older,7.77,46572,954,874,99438,"Adventure, Psychological, Romance, Fantasy, Mecha, Shoujo",24,1996
183,Whistle!,,39,G - All Ages,7.5,4541,1655,3749,9544,"School, Shounen, Sports",24,2002
184,Xenosaga The Animation,,12,PG-13 - Teens 13 or older,6.44,6534,5866,3028,15400,"Action, Mecha, Sci-Fi, Shounen, Space",23,2005
185,Initial D First Stage,Initial D First Stage,26,PG-13 - Teens 13 or older,8.28,60560,256,745,115355,"Action, Cars, Drama, Seinen, Sports",25,1998
186,Initial D Second Stage,Initial D Second Stage,13,PG-13 - Teens 13 or older,8.16,46415,360,1136,72650,"Action, Cars, Sports, Drama, Seinen",23,1999
187,Initial D Third Stage,,1,PG-13 - Teens 13 or older,7.97,39643,587,1310,61960,"Action, Cars, Sports, Drama, Romance, Seinen",105,2001
189,Love Hina,Love Hina,24,PG-13 - Teens 13 or older,7.24,100916,2656,425,182784,"Comedy, Ecchi, Harem, Romance, Shounen, Slice of Life",23,2000
190,Love Hina Again,Love Hina Again,3,PG-13 - Teens 13 or older,7.33,43062,2310,1204,67418,"Comedy, Drama, Ecchi, Romance, Shounen",30,2002
